"monatszahl","auspraegung","jahr","monat","wert"
"Alkoholunfälle","Verletzte und Getötete",2023,5,28
"Alkoholunfälle","Verletzte und Getötete",2023,6,26
"Alkoholunfälle","Verletzte und Getötete",2023,7,31
"Alkoholunfälle","Verletzte und Getötete",2023,8,27
"Alkoholunfälle","Verletzte und Getötete",2023,9,41
"Alkoholunfälle","Verletzte und Getötete",2023,10,23
"Alkoholunfälle","Verletzte und Getötete",2023,11,16
"Alkoholunfälle","Verletzte und Getötete",2023,12,8
"Alkoholunfälle","Verletzte und Getötete",2022,1,8
"Alkoholunfälle","Verletzte und Getötete",2022,2,14
"Alkoholunfälle","Verletzte und Getötete",2022,3,19
"Alkoholunfälle","Verletzte und Getötete",2022,4,18
"Alkoholunfälle","Verletzte und Getötete",2022,5,34
"Alkoholunfälle","Verletzte und Getötete",2022,6,35
"Alkoholunfälle","Verletzte und Getötete",2022,7,38
"Alkoholunfälle","Verletzte und Getötete",2022,8,28
"Alkoholunfälle","Verletzte und Getötete",2022,9,40
"Alkoholunfälle","Verletzte und Getötete",2022,10,26
"Alkoholunfälle","Verletzte und Getötete",2022,11,17
"Alkoholunfälle","Verletzte und Getötete",2022,12,15
"Alkoholunfälle","Verletzte und Getötete",2021,1,5
"Alkoholunfälle","Verletzte und Getötete",2021,2,9
"Alkoholunfälle","Verletzte und Getötete",2021,3,6
"Alkoholunfälle","Verletzte und Getötete",2021,4,6
"Alkoholunfälle","Verletzte und Getötete",2021,5,13
"Alkoholunfälle","Verletzte und Getötete",2021,6,39
"Alkoholunfälle","Verletzte und Getötete",2021,7,27
"Alkoholunfälle","Verletzte und Getötete",2021,8,24
"Alkoholunfälle","Verletzte und Getötete",2021,9,36
"Alkoholunfälle","Verletzte und Getötete",2021,10,27
"Alkoholunfälle","Verletzte und Getötete",2021,11,15
"Alkoholunfälle","Verletzte und Getötete",2021,12,7
"Alkoholunfälle","Verletzte und Getötete",2020,1,11
"Alkoholunfälle","Verletzte und Getötete",2020,2,19
"Alkoholunfälle","Verletzte und Getötete",2020,3,13
"Alkoholunfälle","Verletzte und Getötete",2020,4,15
"Alkoholunfälle","Verletzte und Getötete",2020,5,26
"Alkoholunfälle","Verletzte und Getötete",2020,6,30
"Alkoholunfälle","Verletzte und Getötete",2020,7,43
"Alkoholunfälle","Verletzte und Getötete",2020,8,29
"Alkoholunfälle","Verletzte und Getötete",2020,9,24
"Alkoholunfälle","Verletzte und Getötete",2020,10,20
"Alkoholunfälle","Verletzte und Getötete",2020,11,11
"Alkoholunfälle","Verletzte und Getötete",2020,12,9
"Alkoholunfälle","Verletzte und Getötete",2019,1,7
"Alkoholunfälle","Verletzte und Getötete",2019,2,7
"Alkoholunfälle","Verletzte und Getötete",2019,3,22
"Alkoholunfälle","Verletzte und Getötete",2019,4,18
"Alkoholunfälle","Verletzte und Getötete",2019,5,21
"Alkoholunfälle","Verletzte und Getötete",2019,6,24
"Alkoholunfälle","Verletzte und Getötete",2019,7,34
"Alkoholunfälle","Verletzte und Getötete",2019,8,23
"Alkoholunfälle","Verletzte und Getötete",2019,9,20
"Alkoholunfälle","Verletzte und Getötete",2019,10,20
"Alkoholunfälle","Verletzte und Getötete",2019,11,19
"Alkoholunfälle","Verletzte und Getötete",2019,12,12
"Alkoholunfälle","Verletzte und Getötete",2018,1,8
"Alkoholunfälle","Verletzte und Getötete",2018,2,13
"Alkoholunfälle","Verletzte und Getötete",2018,3,12
"Alkoholunfälle","Verletzte und Getötete",2018,4,8
"Alkoholunfälle","Verletzte und Getötete",2018,5,23
"Alkoholunfälle","Verletzte und Getötete",2018,6,14
"Alkoholunfälle","Verletzte und Getötete",2018,7,29
"Alkoholunfälle","Verletzte und Getötete",2018,8,18
"Alkoholunfälle","Verletzte und Getötete",2018,9,22
"Alkoholunfälle","Verletzte und Getötete",2018,10,16
"Alkoholunfälle","Verletzte und Getötete",2018,11,13
"Alkoholunfälle","Verletzte und Getötete",2018,12,6
"Alkoholunfälle","Verletzte und Getötete",2017,1,4
"Alkoholunfälle","Verletzte und Getötete",2017,2,4
"Alkoholunfälle","Verletzte und Getötete",2017,3,15
"Alkoholunfälle","Verletzte und Getötete",2017,4,10
"Alkoholunfälle","Verletzte und Getötete",2017,5,16
"Alkoholunfälle","Verletzte und Getötete",2017,6,27
"Alkoholunfälle","Verletzte und Getötete",2017,7,18
"Alkoholunfälle","Verletzte und Getötete",2017,8,14
"Alkoholunfälle","Verletzte und Getötete",2017,9,22
"Alkoholunfälle","Verletzte und Getötete",2017,10,16
"Alkoholunfälle","Verletzte und Getötete",2017,11,13
"Alkoholunfälle","Verletzte und Getötete",2017,12,17
"Alkoholunfälle","Verletzte und Getötete",2016,1,6
"Alkoholunfälle","Verletzte und Getötete",2016,2,3
"Alkoholunfälle","Verletzte und Getötete",2016,3,6
"Alkoholunfälle","Verletzte und Getötete",2016,4,8
"Alkoholunfälle","Verletzte und Getötete",2016,5,17
"Alkoholunfälle","Verletzte und Getötete",2016,6,19
"Alkoholunfälle","Verletzte und Getötete",2016,7,23
"Alkoholunfälle","Verletzte und Getötete",2016,8,12
"Alkoholunfälle","Verletzte und Getötete",2016,9,22
"Alkoholunfälle","Verletzte und Getötete",2016,10,11
"Alkoholunfälle","Verletzte und Getötete",2016,11,7
"Alkoholunfälle","Verletzte und Getötete",2016,12,10
"Alkoholunfälle","Verletzte und Getötete",2015,1,21
"Alkoholunfälle","Verletzte und Getötete",2015,2,3
"Alkoholunfälle","Verletzte und Getötete",2015,3,9
"Alkoholunfälle","Verletzte und Getötete",2015,4,23
"Alkoholunfälle","Verletzte und Getötete",2015,5,30
